Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cefoxitin_screen_interpretation_3,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
clindamycin_mic_3,microbiology,,text,CLINDAMYCIN MIC 3,,,,,,,,,,,,,
clindamycin_interpretation_raw_3,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
clindamycin_interpretation_3,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
linezolid_mic_3,microbiology,,text,LINEZOLID MIC 3,,,,,,,,,,,,,
linezolid_interpretation_raw_3,microbiology,,dropdown,LINEZOLID INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
linezolid_interpretation_3,microbiology,,dropdown,LINEZOLID INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
oxacillin_mic_3,microbiology,,text,OXACILLIN MIC 3,,,,,,,,,,,,,
oxacillin_interpretation_raw_3,microbiology,,dropdown,OXACILLIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
oxacillin_interpretation_3,microbiology,,dropdown,OXACILLIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
daptomycin_mic_3,microbiology,,text,DAPTOMYCIN MIC 3,,,,,,,,,,,,,
daptomycin_interpretation_raw_3,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
daptomycin_interpretation_3,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_high_level_synergy_mic_3,microbiology,,text,GENTAMICIN HIGH LEVEL SYNERGY MIC 3,,,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation_raw_3,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation_3,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
vancomycin_mic_3,microbiology,,text,VANCOMYCIN MIC 3,,,,,,,,,,,,,
vancomycin_interpretation_raw_3,microbiology,,dropdown,VANCOMYCIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
vancomycin_interpretation_3,microbiology,,dropdown,VANCOMYCIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
streptomycin_high_level_synergy_mic_3,microbiology,,text,STREPTOMYCIN HIGH LEVEL SYNERGY MIC 3,,,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation_raw_3,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation_3,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
doxycycline_mic_3,microbiology,,text,DOXYCYCLINE MIC 3,,,,,,,,,,,,,
doxycycline_interpretation_raw_3,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
doxycycline_interpretation_3,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tetracycline_mic_3,microbiology,,text,TETRACYCLINE MIC 3,,,,,,,,,,,,,
tetracycline_interpretation_raw_3,microbiology,,dropdown,TETRACYCLINE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tetracycline_interpretation_3,microbiology,,dropdown,TETRACYCLINE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tigecycline_mic_3,microbiology,,text,TIGECYCLINE MIC 3,,,,,,,,,,,,,
tigecycline_interpretation_raw_3,microbiology,,dropdown,TIGECYCLINE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tigecycline_interpretation_3,microbiology,,dropdown,TIGECYCLINE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
moxifloxacin_mic_3,microbiology,,text,MOXIFLOXACIN MIC 3,,,,,,,,,,,,,
moxifloxacin_interpretation_raw_3,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
moxifloxacin_interpretation_3,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
rifampicin_mic_3,microbiology,,text,RIFAMPICIN MIC 3,,,,,,,,,,,,,
rifampicin_interpretation_raw_3,microbiology,,dropdown,RIFAMPICIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
rifampicin_interpretation_3,microbiology,,dropdown,RIFAMPICIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
inducible_clindamycin_resistance_mic_3,microbiology,,text,INDUCIBLE CLINDAMYCIN RESISTANCE MIC 3,,,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation_raw_3,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation_3,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
erythromycin_mic_3,microbiology,,text,ERYTHROMYCIN MIC 3,,,,,,,,,,,,,
erythromycin_interpretation_raw_3,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
erythromycin_interpretation_3,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
fluconazole_mic_3,microbiology,,text,FLUCONAZOLE MIC 3,,,,,,,,,,,,,
fluconazole_interpretation_raw_3,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
fluconazole_interpretation_3,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
micafungin_mic_3,microbiology,,text,MICAFUNGIN MIC 3,,,,,,,,,,,,,
micafungin_interpretation_raw_3,microbiology,,dropdown,MICAFUNGIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
micafungin_interpretation_3,microbiology,,dropdown,MICAFUNGIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
voriconazole_mic_3,microbiology,,text,VORICONAZOLE MIC 3,,,,,,,,,,,,,
voriconazole_interpretation_raw_3,microbiology,,dropdown,VORICONAZOLE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
voriconazole_interpretation_3,microbiology,,dropdown,VORICONAZOLE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amphotericin_b_mic_3,microbiology,,text,AMPHOTERICIN B MIC 3,,,,,,,,,,,,,
amphotericin_b_interpretation_raw_3,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amphotericin_b_interpretation_3,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
caspofungin_mic_3,microbiology,,text,CASPOFUNGIN MIC 3,,,,,,,,,,,,,
caspofungin_interpretation_raw_3,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
caspofungin_interpretation_3,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
flucytosine_mic_3,microbiology,,text,FLUCYTOSINE MIC 3,,,,,,,,,,,,,
flucytosine_interpretation_raw_3,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
flucytosine_interpretation_3,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
parser_version,microbiology,,text,Parser Version,,,,,,,,,,,,,
processed_at,microbiology,,text,Processed At,,,,,,,,,,,,,
validation_status,microbiology,,text,Validation Status,,,,,,,,,,,,,
